HELLO|เฮลโล|สวัสดี
SHOPPING|ชอปปิง|การช้อปปิ้ง
MONEY|มันนี|เงิน
PRICE|ไพรซ์|ราคา
CHEAP|ชีพ|ถูก
EXPENSIVE|เอ็กซ์เพนซิฟ|แพง
CLEAN|คลีน|สะอาด
DIRTY|เดอร์ตี|สกปรก
STRONG|สตรอง|แข็งแรง
WEAK|วีค|อ่อนแอ
BEAUTIFUL|บิวทิฟูล|สวย
UGLY|อั๊กลี|น่าเกลียด
YOUNG|ยัง|หนุ่ม/สาว
OLDMAN|โอลด์แมน|ชายแก่
OLDWOMAN|โอลด์วูแมน|หญิงแก่
BABY|เบบี|ทารก
DAY|เดย์|วัน
NIGHT|ไนท์|กลางคืน
MORNING|มอร์นิง|ตอนเช้า
